namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,fn_fleet_names,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,,Bailia,Alerian,,,,Muturinus,,,Certus,,,,,,Orcuritor,,,Evolumina Clemonia,Evolumina Clemonia,Evolumina Clemonia,,Evolumina Clemonia,,Conona Janatorus,,Poras,Evolumina Clemonia,,Evolumina Clemonia,Conona Janatorus,,,,Evolumina Clemonia,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Imoneta,Manus,,,,Subrina,,,Calens,,,,,,Orcuria,,,Nohn Concaster,Nohn Concaster,Nohn Concaster,,Nohn Concaster,,Evolumina,,Hona,Nohn Concaster,,Nohn Concaster,Evolumina,,,,Nohn Concaster,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Laria,Vuonuel,,,,Aempanda,,,Cara,,,,,,Orculumnus,,,Nohn Ternax,Nohn Ternax,Nohn Ternax,,Nohn Ternax,,Ator,,Verte Emon,Nohn Ternax,,Nohn Ternax,Ator,,,,Nohn Ternax,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Luena,Hadr,,,,Garrian,,,Cima,,,,,,Olicinater,,,Nohn Vespus,Nohn Vespus,Nohn Vespus,,Nohn Vespus,,Aber,,Cantumnus,Nohn Vespus,,Nohn Vespus,Aber,,,,Nohn Vespus,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Lativis,Sentus,,,,Mutus,,,Carolatortis,,,,,,Olybrinum,,,Nohn Aryx,Nohn Aryx,Nohn Aryx,,Nohn Aryx,,Cora Clepia,,Temona,Nohn Aryx,,Nohn Aryx,Cora Clepia,,,,Nohn Aryx,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Olica,Cander,,,,Aena,,,Cartus,,,,,,Orculanum,,,Nohn Empedum,Nohn Empedum,Nohn Empedum,,Nohn Empedum,,Larmete,,Armessolus,Nohn Empedum,,Nohn Empedum,Larmete,,,,Nohn Empedum,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Sumù,Didrotas,,,,Rora,,,Cagus,,,,,,Olybrinium,,,Nohn Valerian,Nohn Valerian,Nohn Valerian,,Nohn Valerian,,Vens,,Cles,Nohn Valerian,,Nohn Valerian,Vens,,,,Nohn Valerian,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Gordi,Nemeseres,,,,Parestis,,,Culoac,,,,,,Olybrine,,,Nohn Lucius,Nohn Lucius,Nohn Lucius,,Nohn Lucius,,,,Vidona,Nohn Lucius,,Nohn Lucius,,,,,Nohn Lucius,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Vitelli,Nemesres,,,,Multury,,,Carmedum,,,,,,Olicangis,,,Nohn Feralian,Nohn Feralian,Nohn Feralian,,Nohn Feralian,,,,Favol,Nohn Feralian,,Nohn Feralian,,,,,Nohn Feralian,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Sumryx,,,,,Hephaer,,,Conian,,,,,,Obaratorres,,,Nohn Padrian,Nohn Padrian,Nohn Padrian,,Nohn Padrian,,,,Fello,Nohn Padrian,,Nohn Padrian,,,,,Nohn Padrian,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Basilgora,,,,,Cern,,,Clona,,,,,,Occatoria,,,Neta Maxentina,Neta Maxentina,Neta Maxentina,,Neta Maxentina,,,,Rodividuus,Neta Maxentina,,Neta Maxentina,,,,,Neta Maxentina,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Stimulna,,,,,Postvernus,,,Catium,,,,,,Orcurine,,,Neta Fatima,Neta Fatima,Neta Fatima,,Neta Fatima,,,,Vecer,Neta Fatima,,Neta Fatima,,,,,Neta Fatima,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prorter,,,Cullis,,,,,,Obaratorta,,,Neta Cordelia,Neta Cordelia,Neta Cordelia,,Neta Cordelia,,,,Vulgo,Neta Cordelia,,Neta Cordelia,,,,,Neta Cordelia,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cors,,,Corideculis,,,,,,,,,Neta Cate,Neta Cate,Neta Cate,,Neta Cate,,,,Fulacus,Neta Cate,,Neta Cate,,,,,Neta Cate,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hercus,,,,,,,,,,,,Neta Domitina,Neta Domitina,Neta Domitina,,Neta Domitina,,,,Aees,Neta Domitina,,Neta Domitina,,,,,Neta Domitina,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barita,,,,,,,,,,,,Neta Diolane,Neta Diolane,Neta Diolane,,Neta Diolane,,,,Fera,Neta Diolane,,Neta Diolane,,,,,Neta Diolane,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conia,,,,,,,,,,,,Neta Bailia,Neta Bailia,Neta Bailia,,Neta Bailia,,,,Spentus,Neta Bailia,,Neta Bailia,,,,,Neta Bailia,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancita,,,,,,,,,,,,,,,,,,,,Baresta,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metes,,,,,,,,,,,,,,,,,,,,Fons,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dina,,,,,,,,,,,,,,,,,,,,Sordivia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesprio,,,,,,,,,,,,,,,,,,,,Sumnus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nemehena,,,,,,,,,,,,,,,,,,,,Virina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felluminus,,,,,,,,,,,,,,,,,,,,Deona,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salessis,,,,,,,,,,,,,,,,,,,,Clemina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teria,,,,,,,,,,,,,,,,,,,,Sern Silona,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pris,,,,,,,,,,,,,,,,,,,,Sturnia Apor,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fora,,,,,,,,,,,,,,,,,,,,Pors Beluna,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancury,,,,,,,,,,,,,,,,,,,,Arnus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bons,,,,,,,,,,,,,,,,,,,,Clemparcus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flonius,,,,,,,,,,,,,,,,,,,,Sares,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faus,,,,,,,,,,,,,,,,,,,,Vaccanna,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bars,,,,,,,,,,,,,,,,,,,,Attina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lina,,,,,,,,,,,,,,,,,,,,Deves,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satora,,,,,,,,,,,,,,,,,,,,Licus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulcana,,,,,,,,,,,,,,,,,,,,Clementa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulgo,,,,,,,,,,,,,,,,,,,,Mefidessis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sates,,,,,,,,,,,,,,,,,,,,Manius,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afritas,,,,,,,,,,,,,,,,,,,,Cybeona,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lita,,,,,,,,,,,,,,,,,,,,Alemona,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adellona,,,,,,,,,,,,,,,,,,,,Flon,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coenus,,,,,,,,,,,,,,,,,,,,Mutas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aequirita,,,,,,,,,,,,,,,,,,,,Sangitas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fonia,,,,,,,,,,,,,,,,,,,,Delindis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuna,,,,,,,,,,,,,,,,,,,,Licurnus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telus,,,,,,,,,,,,,,,,,,,,Denustune,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palima,,,,,,,,,,,,,,,,,,,,Faunox,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porditer,,,,,,,,,,,,,,,,,,,,Somona,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tevenus,,,,,,,,,,,,,,,,,,,,Rumma,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alus,,,,,,,,,,,,,,,,,,,,Deonia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vidello,,,,,,,,,,,,,,,,,,,,Muturinus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pordia,,,,,,,,,,,,,,,,,,,,Subrina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honcupius,,,,,,,,,,,,,,,,,,,,Mutus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quilors,,,,,,,,,,,,,,,,,,,,Aena,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adectorta,,,,,,,,,,,,,,,,,,,,Rora,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licurita,,,,,,,,,,,,,,,,,,,,Parestis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stercanus,,,,,,,,,,,,,,,,,,,,Multury,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verestia,,,,,,,,,,,,,,,,,,,,Hephaer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jununus,,,,,,,,,,,,,,,,,,,,Stres,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verna,,,,,,,,,,,,,,,,,,,,Cern,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priete,,,,,,,,,,,,,,,,,,,,Postvernus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spentia,,,,,,,,,,,,,,,,,,,,Sumna,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seidea,,,,,,,,,,,,,,,,,,,,Prorter,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cangestes,,,,,,,,,,,,,,,,,,,,Cors,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquirieta,,,,,,,,,,,,,,,,,,,,Hercus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dellonius,,,,,,,,,,,,,,,,,,,,Barita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lartuna,,,,,,,,,,,,,,,,,,,,Vidonia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monina,,,,,,,,,,,,,,,,,,,,Conia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prors,,,,,,,,,,,,,,,,,,,,Cancita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probita,,,,,,,,,,,,,,,,,,,,Metes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jutita,,,,,,,,,,,,,,,,,,,,Dina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonte,,,,,,,,,,,,,,,,,,,,Felluminus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitascor,,,,,,,,,,,,,,,,,,,,Abubrina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quilona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evollus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tervacchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aentuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budandinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aputinxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulturinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poenteste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cybera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacurna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salibera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulcatorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fonius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ditia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Termendis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janatorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clepia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larmete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nunditor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulvima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summgarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maturnax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taormine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semoiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacbevatma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cupitx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durocoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naconstata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luentas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caracuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medmuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
